Date,Q5_Return,RF,MKT,SMB,HML,MOM,Q5_Excess_Return,Top40_Return,Top40_Excess_Return
2010-12-31,0.04950378010926504,0.002333333333333333,0.07451623849951614,-0.03871418588399711,0.02848149354173457,-0.026416223901818414,0.047170446775931706,0.03667103665410432,0.03433770332077099
2011-01-31,-0.007335260143702893,0.0025416666666666665,0.006590464001300143,0.001017737714451794,0.00014775101842667837,0.04565718677940045,-0.009876926810369559,-0.009129026652443528,-0.011670693319110194
2011-02-28,-0.04854725065337462,0.0026416666666666667,-0.06565954822609711,0.02367465504720423,-0.028511733918622273,0.008085857100852634,-0.051188917320041286,-0.04494614330551283,-0.0475878099721795
2011-03-31,0.052940414321077656,0.002825,0.08349480611560875,-0.04937570942111247,0.011806747333434675,0.08735598658305399,0.050115414321077655,-0.011448117004279055,-0.014273117004279055
2011-04-30,0.010644570370448305,0.00285,0.03781074903878114,-0.043582089552238856,-0.007868775026032337,0.08201448497854069,0.007794570370448305,-0.02049800440825011,-0.023348004408250113
2011-05-31,-0.07469689625884557,0.0028833333333333332,-0.025639632481283633,-0.02372034956304614,0.0352953906080935,0.03024480942051433,-0.0775802295921789,-0.04445652288272206,-0.047339856216055395
2011-06-30,-0.011025110968180265,0.0029749999999999998,-0.022475856488072092,0.002877237851662384,0.004650822516251596,-0.012452625879805002,-0.014000110968180265,-0.007689398038282502,-0.010664398038282502
2011-07-31,0.1005074588243231,0.0029916666666666668,0.012488961127058277,0.07076824992030617,0.0013419746793303933,-0.0015229044834308425,0.09751579215765643,0.07870421513929182,0.07571254847262515
2011-08-31,-0.12272339924619,0.0029916666666666668,-0.12163915097435324,0.030961595713009826,0.0034075797872341607,0.02879629064730649,-0.12571506591285667,-0.106280195635265,-0.10927186230193167
2011-09-30,-0.1243230782270289,0.002983333333333333,-0.06173521487217936,-0.03003176436615651,-0.04296777934233409,0.008776611516337685,-0.12730641156036224,-0.1055449649935582,-0.10852829832689154
2011-10-31,0.1636954997307571,0.0029749999999999998,0.07578633698753973,0.011461744566835241,-0.021280048467014367,-0.02051613661748286,0.16072049973075708,0.1510487301614782,0.1480737301614782
2011-11-30,0.008530051125411608,0.002958333333333333,-0.0351841233942543,0.03796909492273737,-0.0015917406347064622,0.024366822710358838,0.005571717792078275,0.03689189884600719,0.033933565512673854
2011-12-31,0.08837109199723603,0.002958333333333333,-0.014741760757271453,0.05983269530696167,0.011071377168605956,-0.015701898289196214,0.0854127586639027,0.08162869138038964,0.07867035804705631
2012-01-31,0.1185429381232978,0.00295,0.06828139110716759,-0.017658862876254067,0.015078348280279874,-0.07285714285714295,0.11559293812329781,0.135470436777501,0.132520436777501
2012-02-29,0.1544634705960521,0.00295,0.03512157210129919,0.07612692360070805,0.021801510248112166,-0.035374935798664575,0.15151347059605208,0.1672494957746555,0.1642994957746555
2012-03-31,-0.025790219330735553,0.002958333333333333,-0.010942571727619747,-0.025563148569982208,0.005437020301728213,0.027753743760399185,-0.028748552664068887,-0.035248010260643614,-0.03820634359397695
2012-04-30,-0.05038939919282048,0.00295,-0.018863288713233055,-0.028051948051947995,0.010647234239153258,0.06922678409532468,-0.053339399192820484,-0.04014806375163594,-0.04309806375163594
2012-05-31,-0.027831639447020273,0.00295,-0.07283935362943304,0.013762693746659505,-0.00717922077922073,-0.0015141420870934397,-0.030781639447020274,-0.04852405519920622,-0.05147405519920622
2012-06-30,0.06499494459229438,0.00295,0.002767478450964819,0.029787794912349952,0.0028464090247908302,0.0008492053863884408,0.06204494459229438,0.08160420430024029,0.0786542043002403
2012-07-31,0.0033850090793516863,0.0026666666666666666,0.012424945568434582,-0.029822091386151217,0.00853586000354789,0.01090909090909098,0.0007183424126850197,0.04348823804379087,0.04082157137712421
2012-08-31,0.0739564803703383,0.0026333333333333334,0.009656848867422173,0.04485488126649084,-0.022410992353774972,0.010071942446042925,0.07132314703700497,0.06132387585211907,0.058690542518785735
2012-09-30,0.062289978949945805,0.0025749999999999996,0.045238261106911974,0.007070707070707005,0.021940454896647976,0.004807692307692291,0.059714978949945804,0.05780599240998452,0.05523099240998452
2012-10-31,-0.036844412168422824,0.002375,-0.04452988350424057,0.02444834503510518,0.033938854136459806,0.027703939984641712,-0.039219412168422826,-0.055511459872544355,-0.05788645987254436
